Concern-overloadorg.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-5, Pushpull-topic-3];org.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-5, Pushpull-topic-3];[Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Feature Envy -> RetrievalSetup.createPropFilesConfig, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Concern-overloadorg.apache.oodt.cas.pushpull.config -> [Pushpull-topic-5, Pushpull-topic-3, Pushpull-topic-1, Pushpull-topic-2];org.apache.oodt.cas.pushpull.config -> [Pushpull-topic-5, Pushpull-topic-3, Pushpull-topic-1, Pushpull-topic-2];[Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo, Dispersed Coupling -> SiteInfo.getPossibleRemoteSites, Dispersed Coupling -> ParserInfo.loadParserInfo, Dispersed Coupling -> ProtocolInfo.loadProtocolFactoryInfoFromFile, Feature Envy -> Config.loadMetadataListToOutput]
Concern-overloadorg.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-6, Pushpull-topic-0];org.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-6, Pushpull-topic-0];[Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Intensive Coupling -> ClassNoaaEmailParser.parse]
Intra-classFileRetrievalSystem;FileRetrievalSystem;[Brain Class -> FileRetrievalSystem, Brain Method -> FileRetrievalSystem.addToDownloadQueue, Data Class -> FileRetrievalSystem, Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> FileRetrievalSystem.modifyAvailableSessionForPath, Feature Envy -> FileRetrievalSystem.initializeStagingArea, Feature Envy -> FileRetrievalSystem.getSaveToLoc, Feature Envy -> FileRetrievalSystem.isAlreadyInDatabase, God Class -> FileRetrievalSystem, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Intra-classConfig;Config;[Dispersed Coupling -> Config.loadIngester, Feature Envy -> Config.loadMetadataListToOutput, Feature Envy -> Config.loadConfigFile, God Class -> Config]
Intra-classRemoteSpecs;RemoteSpecs;[Brain Method -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo, Dispersed Coupling -> RemoteSpecs.loadRemoteSpecs]
Intra-classRetrievalSetup;RetrievalSetup;[Dispersed Coupling -> RetrievalSetup.retrieveFiles, Dispersed Coupling -> RetrievalSetup.startPropFileDownload, Feature Envy -> RetrievalSetup.createPropFilesConfig]
Intra-classMethod;Method;[Brain Class -> Method, Brain Method -> Method.execute, Brain Method -> Method.convert, Data Class -> Method, Dispersed Coupling -> Method.execute, Dispersed Coupling -> Method.convert]
Intra-classRenamingConvention;RenamingConvention;[Dispersed Coupling -> RenamingConvention.grepRemoveReplace, Feature Envy -> RenamingConvention.getGrandParentPath, Intensive Coupling -> RenamingConvention.grepReplace]
Intra-classProtocolHandler;ProtocolHandler;[Data Class -> ProtocolHandler, Dispersed Coupling -> ProtocolHandler.getAppropriateProtocolBySite, Dispersed Coupling -> ProtocolHandler.nextPage, Dispersed Coupling -> ProtocolHandler.download, Dispersed Coupling -> ProtocolHandler.connect, Dispersed Coupling -> ProtocolHandler.delete, Feature Envy -> ProtocolHandler.passesDynamicDetection, God Class -> ProtocolHandler]
Intra-classDaemon;Daemon;[Dispersed Coupling -> Daemon.startDaemon, Feature Envy -> Daemon.calculateTimeTilNextRun, God Class -> Daemon]
Intra-classDirStructXmlParser;DirStructXmlParser;[Dispersed Coupling -> DirStructXmlParser.parseDirstructXML, Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Dispersed Coupling -> DirStructXmlParser.parse, Dispersed Coupling -> DirStructXmlParser.replaceVariablesAndMethods, Dispersed Coupling -> DirStructXmlParser.parseVariablesXML, God Class -> DirStructXmlParser]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.protocol;Dispersed Coupling -> org.apache.oodt.cas.pushpull.protocol;[Dispersed Coupling -> ProtocolHandler.getAppropriateProtocolBySite, Dispersed Coupling -> ProtocolHandler.nextPage, Dispersed Coupling -> ProtocolHandler.download, Dispersed Coupling -> ProtocolHandler.connect, Dispersed Coupling -> ProtocolHandler.delete]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.retrievalsystem;Dispersed Coupling -> org.apache.oodt.cas.pushpull.retrievalsystem;[Dispersed Coupling -> RetrievalSetup.retrieveFiles, Dispersed Coupling -> RetrievalSetup.startPropFileDownload, Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Dispersed Coupling -> FileRetrievalSystem.modifyAvailableSessionForPath]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.filerestrictions.parsers;Dispersed Coupling -> org.apache.oodt.cas.pushpull.filerestrictions.parsers;[Dispersed Coupling -> DirStructXmlParser.parseDirstructXML, Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Dispersed Coupling -> DirStructXmlParser.parse, Dispersed Coupling -> DirStructXmlParser.replaceVariablesAndMethods, Dispersed Coupling -> DirStructXmlParser.parseVariablesXML]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.daemon;Feature Envy -> org.apache.oodt.cas.pushpull.daemon;[Feature Envy -> DaemonLauncher.configure, Feature Envy -> DaemonManager.setAsRunning, Feature Envy -> Daemon.calculateTimeTilNextRun]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.config;Feature Envy -> org.apache.oodt.cas.pushpull.config;[Feature Envy -> Config.loadMetadataListToOutput, Feature Envy -> Config.loadConfigFile]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.retrievalsystem;Feature Envy -> org.apache.oodt.cas.pushpull.retrievalsystem;[Feature Envy -> FileRetrievalSystem.initializeStagingArea, Feature Envy -> FileRetrievalSystem.getSaveToLoc, Feature Envy -> FileRetrievalSystem.isAlreadyInDatabase, Feature Envy -> RetrievalSetup.createPropFilesConfig]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.expressions;Dispersed Coupling -> org.apache.oodt.cas.pushpull.expressions;[Dispersed Coupling -> Method.execute, Dispersed Coupling -> Method.convert]
Intra-componentBrain Methodorg.apache.oodt.cas.pushpull.expressions;Brain Method -> org.apache.oodt.cas.pushpull.expressions;[Brain Method -> Method.execute, Brain Method -> Method.convert]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.config;Dispersed Coupling -> org.apache.oodt.cas.pushpull.config;[Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo, Dispersed Coupling -> SiteInfo.getPossibleRemoteSites, Dispersed Coupling -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> Config.loadIngester, Dispersed Coupling -> ParserInfo.loadParserInfo, Dispersed Coupling -> ProtocolInfo.loadProtocolFactoryInfoFromFile]
Intra-methodMethod.execute;Method.execute;[Brain Method -> Method.execute, Dispersed Coupling -> Method.execute]
Intra-methodFileRetrievalSystem.addToDownloadQueue;FileRetrievalSystem.addToDownloadQueue;[Brain Method -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue]
Intra-methodMethod.convert;Method.convert;[Brain Method -> Method.convert, Dispersed Coupling -> Method.convert]
Intra-methodRemoteSpecs.loadRemoteSpecs;RemoteSpecs.loadRemoteSpecs;[Brain Method -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> RemoteSpecs.loadRemoteSpecs]
Intra-methodFileRetrievalSystem.initializeStagingArea;FileRetrievalSystem.initializeStagingArea;[Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Feature Envy -> FileRetrievalSystem.initializeStagingArea]
